category,patch_name,sample_id,sci_res2_norm,baseline_dice,ours_dice,delta_dice,baseline_recall,ours_recall,delta_recall,figure
ours_worse_hard,22_y192_x64.png,22,0.7491727471351624,0.7392950654029846,0.7313119173049927,-0.007983148097991943,0.7202043091929381,0.6912599279724181,-0.02894438122052001,ours_worse_hard\22_y192_x64.png
ours_worse_hard,38_y192_x437.png,38,0.6693263649940491,0.7939204573631287,0.7882736325263977,-0.005646824836730957,0.7780373809052646,0.7774532687574378,-0.0005841121478268319,ours_worse_hard\38_y192_x437.png
ours_worse_hard,22_y192_x0.png,22,0.8072956204414368,0.6944140195846558,0.6899611949920654,-0.004452824592590332,0.6084452916655922,0.5969289769968429,-0.011516314668749361,ours_worse_hard\22_y192_x0.png
ours_worse_hard,21_y192_x384.png,21,0.7820011973381042,0.5873606204986572,0.5841270089149475,-0.003233611583709717,0.6396761047277179,0.6207827176682494,-0.018893387059468414,ours_worse_hard\21_y192_x384.png
ours_better_hard,22_y256_x437.png,22,0.5935457348823547,0.8504594564437866,0.8729032278060913,0.022443771362304688,0.796058802639791,0.8464185147124851,0.050359712072694074,ours_better_hard\22_y256_x437.png
ours_better_hard,36_y256_x0.png,36,0.60186368227005,0.7745712995529175,0.7946537137031555,0.020082414150238037,0.7101226939407769,0.7523006077277561,0.042177913786979215,ours_better_hard\36_y256_x0.png
ours_better_hard,22_y192_x320.png,22,0.5993678569793701,0.7319735884666443,0.7455357313156128,0.013562142848968506,0.6567010275427783,0.6886597902646403,0.031958762721862044,ours_better_hard\22_y192_x320.png
ours_better_hard,22_y192_x128.png,22,0.6265934109687805,0.7528089880943298,0.7660377621650696,0.013228774070739746,0.7743533254025684,0.7820583336155292,0.007705008212960829,ours_better_hard\22_y192_x128.png
ours_better_hard,36_y256_x128.png,36,0.5993478894233704,0.7695445418357849,0.7827496528625488,0.013205111026763916,0.7004950451702039,0.7469059359721167,0.04641089080191285,ours_better_hard\36_y256_x128.png
ours_better_hard,22_y192_x437.png,22,0.681067943572998,0.8444650769233704,0.856928825378418,0.012463748455047607,0.7976051378574616,0.8352803713922886,0.037675233534827046,ours_better_hard\22_y192_x437.png
ours_better_hard,22_y192_x256.png,22,0.6109257936477661,0.7071672081947327,0.7172459959983826,0.010078787803649902,0.6395061688919372,0.6623456749237921,0.022839506031854917,ours_better_hard\22_y192_x256.png
ours_better_hard,36_y64_x64.png,36,0.5902696251869202,0.8565142750740051,0.8664525151252747,0.009938240051269531,0.7989056051121495,0.86092110870533,0.06201550359318053,ours_better_hard\36_y64_x64.png
ours_better_hard,38_y192_x128.png,38,0.6629345417022705,0.7004932761192322,0.7076813578605652,0.007188081741333008,0.6752717345429909,0.6759510823644628,0.0006793478214718318,ours_better_hard\38_y192_x128.png
ours_better_hard,22_y64_x128.png,22,0.5847282409667969,0.790243923664093,0.7970141768455505,0.0067702531814575195,0.7410795940481262,0.757090572931882,0.0160109788837558,ours_better_hard\22_y64_x128.png
ours_better_hard,22_y256_x128.png,22,0.8580194115638733,0.6599401831626892,0.661897599697113,0.001957416534423828,0.6609281387655079,0.6579341268118704,-0.0029940119536375764,ours_better_hard\22_y256_x128.png
ours_better_hard,22_y320_x128.png,22,0.6539981365203857,0.7773797512054443,0.7789791226387024,0.0015993714332580566,0.791970798790559,0.8076120917225647,0.015641292932005668,ours_better_hard\22_y320_x128.png
ours_better_hard,22_y256_x256.png,22,0.6302229166030884,0.6672880053520203,0.6684881448745728,0.0012001395225524902,0.63418954265554,0.6501328551803999,0.01594331252485992,ours_better_hard\22_y256_x256.png
ours_better_hard,21_y192_x0.png,21,0.62925124168396,0.8790262937545776,0.8796791434288025,0.0006528496742248535,0.8680738760830434,0.8680738760830434,0.0,ours_better_hard\21_y192_x0.png
ours_better_hard,22_y256_x192.png,22,0.8000372052192688,0.5944751501083374,0.59450364112854,2.849102020263672e-05,0.5445344074439837,0.536437241534036,-0.00809716590994769,ours_better_hard\22_y256_x192.png
ours_better_hard,21_y192_x384.png,21,0.7820011973381042,0.5873606204986572,0.5841270089149475,-0.003233611583709717,0.6396761047277179,0.6207827176682494,-0.018893387059468414,ours_better_hard\21_y192_x384.png
ours_better_hard,22_y192_x0.png,22,0.8072956204414368,0.6944140195846558,0.6899611949920654,-0.004452824592590332,0.6084452916655922,0.5969289769968429,-0.011516314668749361,ours_better_hard\22_y192_x0.png
ours_better_hard,38_y192_x437.png,38,0.6693263649940491,0.7939204573631287,0.7882736325263977,-0.005646824836730957,0.7780373809052646,0.7774532687574378,-0.0005841121478268319,ours_better_hard\38_y192_x437.png
ours_better_hard,22_y192_x64.png,22,0.7491727471351624,0.7392950654029846,0.7313119173049927,-0.007983148097991943,0.7202043091929381,0.6912599279724181,-0.02894438122052001,ours_better_hard\22_y192_x64.png
ours_better_hard,38_y320_x128.png,38,0.600751519203186,0.831416666507721,0.8227227926254272,-0.008693873882293701,0.8320274200194544,0.822722816734952,-0.009304603284502444,ours_better_hard\38_y320_x128.png
ours_similar_hard,22_y256_x192.png,22,0.8000372052192688,0.5944751501083374,0.59450364112854,2.849102020263672e-05,0.5445344074439837,0.536437241534036,-0.00809716590994769,ours_similar_hard\22_y256_x192.png
ours_similar_hard,21_y192_x0.png,21,0.62925124168396,0.8790262937545776,0.8796791434288025,0.0006528496742248535,0.8680738760830434,0.8680738760830434,0.0,ours_similar_hard\21_y192_x0.png
ours_similar_hard,22_y256_x256.png,22,0.6302229166030884,0.6672880053520203,0.6684881448745728,0.0012001395225524902,0.63418954265554,0.6501328551803999,0.01594331252485992,ours_similar_hard\22_y256_x256.png
ours_similar_hard,22_y320_x128.png,22,0.6539981365203857,0.7773797512054443,0.7789791226387024,0.0015993714332580566,0.791970798790559,0.8076120917225647,0.015641292932005668,ours_similar_hard\22_y320_x128.png
ours_similar_hard,22_y256_x128.png,22,0.8580194115638733,0.6599401831626892,0.661897599697113,0.001957416534423828,0.6609281387655079,0.6579341268118704,-0.0029940119536375764,ours_similar_hard\22_y256_x128.png
ours_similar_hard,21_y192_x384.png,21,0.7820011973381042,0.5873606204986572,0.5841270089149475,-0.003233611583709717,0.6396761047277179,0.6207827176682494,-0.018893387059468414,ours_similar_hard\21_y192_x384.png
ours_similar_hard,22_y192_x0.png,22,0.8072956204414368,0.6944140195846558,0.6899611949920654,-0.004452824592590332,0.6084452916655922,0.5969289769968429,-0.011516314668749361,ours_similar_hard\22_y192_x0.png
ours_similar_hard,38_y192_x437.png,38,0.6693263649940491,0.7939204573631287,0.7882736325263977,-0.005646824836730957,0.7780373809052646,0.7774532687574378,-0.0005841121478268319,ours_similar_hard\38_y192_x437.png
ours_similar_hard,22_y64_x128.png,22,0.5847282409667969,0.790243923664093,0.7970141768455505,0.0067702531814575195,0.7410795940481262,0.757090572931882,0.0160109788837558,ours_similar_hard\22_y64_x128.png
ours_similar_hard,38_y192_x128.png,38,0.6629345417022705,0.7004932761192322,0.7076813578605652,0.007188081741333008,0.6752717345429909,0.6759510823644628,0.0006793478214718318,ours_similar_hard\38_y192_x128.png
