sample_id,patch_name,is_hard,sci_res2_norm,baseline_dice,ours_dice,delta_dice,baseline_recall,ours_recall,delta_recall,baseline_fp_pixels,ours_fp_pixels,delta_fp_pixels,baseline_fn_pixels,ours_fn_pixels,delta_fn_pixels
21,21_y192_x320.png,False,0.5593909621238708,0.6776859760284424,0.6728280782699585,-0.004857897758483887,0.8005578688904064,0.7615062655298986,-0.039051603360507725,403,360,-43,143,171,28
21,21_y192_x384.png,True,0.7820011973381042,0.5873606204986572,0.5841270089149475,-0.003233611583709717,0.6396761047277179,0.6207827176682494,-0.018893387059468414,399,374,-25,267,281,14
21,21_y192_x437.png,True,0.8816248774528503,0.6048324108123779,0.5959839224815369,-0.008848488330841064,0.5969230677396451,0.5707692219881658,-0.026153845751479277,245,224,-21,262,279,17
21,21_y256_x0.png,False,0.5043317675590515,0.8515198826789856,0.8458466529846191,-0.005673229694366455,0.819272587854246,0.7941507281809121,-0.025121859673333802,280,223,-57,482,549,67
21,21_y256_x64.png,False,0.37852293252944946,0.8556869029998779,0.8405261039733887,-0.015160799026489258,0.8342607280037331,0.8127980889793398,-0.02146263902439327,291,305,14,417,471,54
21,21_y256_x128.png,False,0.4330912232398987,0.8116071224212646,0.8057491183280945,-0.005858004093170166,0.846368707203271,0.861266286207949,0.01489757900467803,257,297,40,165,149,-16
21,21_y256_x192.png,True,0.6142100691795349,0.7495338916778564,0.7307932376861572,-0.01874065399169922,0.7810880727838333,0.757772010909689,-0.023316061874144256,234,244,10,169,187,18
21,21_y256_x256.png,False,0.5735886693000793,0.7348668575286865,0.7133917212486267,-0.021475136280059814,0.779204097827932,0.7317073076802656,-0.04749679014766639,266,249,-17,172,209,37
21,21_y256_x320.png,True,0.6356154680252075,0.7022758722305298,0.6757009625434875,-0.026574909687042236,0.831683159167402,0.7953795292037455,-0.036303629963656436,488,508,20,153,186,33
21,21_y256_x384.png,True,0.859097957611084,0.6390471458435059,0.6122015714645386,-0.026845574378967285,0.7319098371066449,0.6844602528533777,-0.047449584253267174,471,465,-6,226,266,40
21,21_y256_x437.png,True,1.0,0.5805920958518982,0.5396535992622375,-0.040938496589660645,0.6303571316007656,0.5285714191326533,-0.1017857124681123,303,241,-62,207,264,57
21,21_y320_x64.png,False,0.31051942706108093,0.8809924125671387,0.8648534417152405,-0.016138970851898193,0.8773031789057655,0.8588777183464081,-0.018425460559357343,273,304,31,293,337,44
21,21_y320_x128.png,False,0.3334413766860962,0.8837314248085022,0.8637474775314331,-0.019983947277069092,0.9078703661672667,0.8995370328725136,-0.008333333294753054,317,396,79,199,217,18
21,21_y320_x192.png,False,0.4316904842853546,0.8555691838264465,0.8280556201934814,-0.027513563632965088,0.8973042304409228,0.8979460789605515,0.0006418485196286738,312,422,110,160,159,-1
21,21_y320_x256.png,False,0.5058727264404297,0.8484848737716675,0.8301776647567749,-0.018307209014892578,0.8936170156844992,0.8917396690128933,-0.001877346671605995,340,410,70,170,173,3
21,21_y320_x320.png,False,0.5766934156417847,0.8074495196342468,0.7945712804794312,-0.012878239154815674,0.8694765406561759,0.8755948274942568,0.006118286838080911,418,483,65,192,183,-9
21,21_y320_x384.png,True,0.7871647477149963,0.6868792176246643,0.6752977967262268,-0.0115814208984375,0.7448979507381185,0.7392290165620293,-0.005668934176089158,374,397,23,225,230,5
21,21_y384_x64.png,False,0.40188461542129517,0.8316229581832886,0.8325029015541077,0.0008799433708190918,0.8467492194524054,0.8405572690359344,-0.006191950416471026,245,231,-14,198,206,8
21,21_y384_x128.png,False,0.3591182231903076,0.8848892450332642,0.8646080493927002,-0.020281195640563965,0.9056680125276598,0.8842105227359898,-0.02145748979167006,349,398,49,233,286,53
21,21_y384_x192.png,False,0.3693583607673645,0.8942060470581055,0.8809293508529663,-0.01327669620513916,0.9131663937271146,0.9188206748028244,0.005654281075709755,320,414,94,215,201,-14
21,21_y384_x256.png,False,0.4283750653266907,0.8699728846549988,0.8589372038841248,-0.011035680770874023,0.8740703972529975,0.88150718452401,0.0074367872710124905,273,345,72,254,239,-15
21,21_y384_x320.png,False,0.4398208260536194,0.8660274744033813,0.8626949787139893,-0.00333249568939209,0.8694068633225449,0.8777315250898464,0.008324661767301511,266,302,36,251,235,-16
21,21_y384_x384.png,False,0.5617516040802002,0.834878146648407,0.8290859460830688,-0.005792200565338135,0.8328767066241322,0.8356164326327642,0.0027397260086320374,237,263,26,244,240,-4
21,21_y448_x192.png,False,0.5178101658821106,0.8778383135795593,0.8712736964225769,-0.006564617156982422,0.8444735655549428,0.842726077576557,-0.0017474879783857533,182,210,28,356,360,4
21,21_y448_x256.png,False,0.5348518490791321,0.8720253705978394,0.8649357557296753,-0.0070896148681640625,0.816740956826444,0.816740956826444,0.0,114,145,31,370,370,0
21,21_y456_x192.png,False,0.5069828629493713,0.8673050403594971,0.8583106398582458,-0.00899440050125122,0.8276762358868082,0.8224543037991943,-0.005221932087613901,155,180,25,330,340,10
21,21_y456_x256.png,False,0.5036824345588684,0.8577749729156494,0.8495575189590454,-0.008217453956604004,0.8010625690610238,0.7933884250685453,-0.007674143992478455,113,126,13,337,350,13
22,22_y64_x64.png,False,0.4515056908130646,0.8155706524848938,0.82261061668396,0.007039964199066162,0.76851851304474,0.7877492821385379,0.01923076909379795,163,179,16,325,298,-27
22,22_y64_x128.png,True,0.5847282409667969,0.790243923664093,0.7970141768455505,0.0067702531814575195,0.7410795940481262,0.757090572931882,0.0160109788837558,294,312,18,566,531,-35
22,22_y64_x192.png,False,0.5611215233802795,0.799648106098175,0.8077837824821472,0.008135676383972168,0.7568692724526674,0.7776852590437748,0.020815986591107394,327,355,28,584,534,-50
22,22_y64_x256.png,False,0.44736844301223755,0.826306939125061,0.8415616750717163,0.015254735946655273,0.7833732982279245,0.8141486778011643,0.030775379573239836,282,302,20,542,465,-77
22,22_y64_x320.png,False,0.49533310532569885,0.8140150904655457,0.8328375816345215,0.01882249116897583,0.736454107126966,0.774050863346661,0.03759675621969494,198,230,32,715,613,-102
22,22_y128_x64.png,False,0.54018235206604,0.8146911263465881,0.8110951781272888,-0.0035959482192993164,0.787459655198434,0.7819271517661265,-0.0055325034323074895,316,317,1,461,473,12
22,22_y128_x128.png,False,0.5663115978240967,0.8267641067504883,0.8353520035743713,0.008587896823883057,0.8128544392708716,0.8344045337073552,0.02155009443648359,406,432,26,495,438,-57
22,22_y128_x192.png,False,0.5750489830970764,0.824195921421051,0.834324836730957,0.010128915309906006,0.8155515341209709,0.8368896895591692,0.02133815543819828,452,468,16,510,451,-59
