patch_name,sci_res2_norm,fov_ratio,sample_id,is_hard,j3_dice,j3_recall,p0_dice,p0_recall,p5_dice,p5_recall,delta_j3_p0_dice,delta_j3_p0_recall,delta_j3_p5_dice,delta_j3_p5_recall,j3_vs_p0,j3_vs_p5
21_y192_x64.png,0.3825763165950775,1.0,21,False,0.8462135925316241,0.8485202459169772,0.863814756939139,0.8570872240767631,0.8618110238940728,0.852414326898698,-0.017601164407514913,-0.00856697815978591,-0.015597431362448733,-0.0038940809817208377,worse,worse
21_y192_x128.png,0.4294058978557586,1.0,21,False,0.834048641509125,0.8893973997757636,0.829734513877046,0.8939740587797554,0.8336327709894619,0.8848207407717716,0.004314127632079057,-0.004576659003991845,0.0004158705196631862,0.004576659003991956,tied,tied
21_y192_x192.png,0.4059780240058899,1.0,21,False,0.8304042186713346,0.883177561839462,0.8175119210337584,0.8813084029784262,0.8290748906208154,0.8794392441173903,0.012892297637576267,0.0018691588610358911,0.0013293280505192184,0.0037383177220717823,better,tied
21_y192_x256.png,0.3436670303344726,1.0,21,False,0.7841726631644325,0.8268015066143931,0.788381743992995,0.8407079539733509,0.7792521123084915,0.8166877267169693,-0.004209080828562528,-0.013906447358957741,0.004920550855941008,0.010113779897423791,tied,tied
21_y192_x320.png,0.5593909621238708,1.0,21,False,0.6819747435018672,0.8284518712907689,0.6776859523159035,0.8005578688904064,0.6811000603797539,0.8117154698505513,0.004288791185963703,0.02789400240036255,0.0008746831221132512,0.016736401440217596,tied,tied
21_y192_x384.png,0.7820011973381042,1.0,21,True,0.614035089976403,0.7085020147300674,0.5873605973521648,0.6396761047277179,0.612294585439473,0.6788124064937597,0.026674492624238155,0.0688259100023495,0.0017405045369299765,0.02968960823630762,better,tied
21_y192_x437.png,0.8816248774528503,0.803406,21,True,0.6252739253084446,0.6584615283313612,0.6048324270862633,0.5969230677396451,0.5970381948788916,0.5892307601656807,0.02044149822218133,0.06153846059171608,0.028235730429552963,0.06923076816568052,better,better
21_y256_x0.png,0.5043317675590515,0.898499,21,False,0.8559001515584339,0.84851893195156,0.8515198755816058,0.819272587854246,0.8649765260751614,0.8635170571296698,0.004380275976828107,0.02924634409731408,-0.009076374516727492,-0.014998125178109722,tied,worse
21_y256_x64.png,0.3785229325294494,1.0,21,False,0.8409321178501882,0.824721777326225,0.8556869142770344,0.8342607280037331,0.8437884382046157,0.8179650205963234,-0.014754796426846184,-0.009538950677508096,-0.0028563203544275106,0.006756756729901614,worse,tied
21_y256_x128.png,0.4330912232398987,1.0,21,False,0.7992766736018233,0.8230912400084615,0.8116071436981823,0.846368707203271,0.7946469783357314,0.8016759701892368,-0.012330470096359014,-0.023277467194809498,0.0046296952660919155,0.021415269819224703,worse,tied
21_y256_x192.png,0.6142100691795349,1.0,21,True,0.754669989074284,0.7849740830961907,0.7495338735268249,0.7810880727838333,0.7318327991522007,0.7370466225771163,0.005136115547459075,0.0038860103123573575,0.02283718992208328,0.04792746051907437,better,better
21_y256_x256.png,0.5735886693000793,1.0,21,False,0.73884592659818,0.7971758562621841,0.7348668296920894,0.779204097827932,0.7282948174372591,0.7483953690834998,0.003979096906090662,0.01797175843425214,0.010551109160920946,0.04878048717868433,tied,better
21_y256_x320.png,0.6356154680252075,1.0,21,True,0.7010402546312063,0.8525852491464769,0.7022758954840878,0.831683159167402,0.70244821232369,0.8206820591784152,-0.0012356408528814145,0.020902089979074945,-0.0014079576924836967,0.03190318996806174,tied,tied
21_y256_x384.png,0.859097957611084,1.0,21,True,0.6497313158293536,0.7888493382105654,0.6390471277107865,0.7319098371066449,0.6498951800319959,0.73546855592564,0.010684188118567084,0.05693950110392043,-0.00016386420264224988,0.05338078228492538,better,tied
21_y256_x437.png,1.0,0.826477,21,True,0.600000003030303,0.7071428445153064,0.580592108712236,0.6303571316007656,0.5812973919014541,0.6160714175701533,0.019407894318067,0.07678571291454084,0.018702611128848856,0.09107142694515313,better,better
21_y320_x64.png,0.3105194270610809,1.0,21,False,0.867439933994532,0.8768844184385074,0.8809924308641874,0.8773031789057655,0.8637607920325104,0.8588777183464081,-0.013552496869655428,-0.0004187604672580836,0.0036791419620215704,0.01800670009209926,worse,tied
21_y320_x128.png,0.3334413766860962,1.0,21,False,0.8685042931122814,0.8898148106953018,0.883731410807275,0.9078703661672667,0.8691460058100414,0.8763888848315329,-0.01522711769499363,-0.018055555471964913,-0.0006417126977600329,0.013425925863768895,worse,tied
21_y320_x192.png,0.4316904842853546,1.0,21,False,0.8466707396253185,0.8896020482053784,0.8555691558887113,0.8973042304409228,0.8510504865128552,0.870988441136146,-0.008898416263392828,-0.007702182235544419,-0.0043797468875367285,0.01861360706923232,worse,tied
21_y320_x256.png,0.5058727264404297,1.0,21,False,0.8450370374961865,0.8923654512367619,0.8484848489349827,0.8936170156844992,0.8557427263223807,0.8742177667445696,-0.0034478114387961334,-0.00125156444773733,-0.01070568882619416,0.018147684492192284,tied,worse
21_y320_x320.png,0.5766934156417847,1.0,21,False,0.803488010577739,0.8769544467916082,0.8074494955572933,0.8694765406561759,0.8152661968721417,0.8640380634667705,-0.003961484979554286,0.007477906135432311,-0.011778186294402748,0.012916383324837688,tied,worse
21_y320_x384.png,0.7871647477149963,0.99469,21,True,0.6838521416155051,0.7970521451581389,0.6868792488924242,0.7448979507381185,0.7065616813303849,0.7630385401016039,-0.0030271072769191276,0.05215419442002045,-0.022709539714879767,0.03401360505653506,tied,worse
21_y384_x64.png,0.4018846154212951,0.92749,21,False,0.8274568648632525,0.8537151636709353,0.8316229576905247,0.8467492194524054,0.8270106228110371,0.84365324424417,-0.004166092827272205,0.006965944218529807,0.0004462420522154398,0.010061919426765265,tied,tied
21_y384_x128.png,0.3591182231903076,1.0,21,False,0.871064768656377,0.8793522231605172,0.8848892407340007,0.9056680125276598,0.8745476480206119,0.8805667980543853,-0.013824472077623606,-0.026315789367142628,-0.0034828793642348588,-0.0012145748938681145,worse,tied
21_y384_x192.png,0.3693583607673645,1.0,21,False,0.8887112889336438,0.8982229365984533,0.8942060512275933,0.9131663937271146,0.8876404496636427,0.8933764099621307,-0.005494762293949518,-0.014943457128661297,0.0010708392700010672,0.004846526636322568,worse,tied
21_y384_x256.png,0.4283750653266907,1.0,21,False,0.8724464377866307,0.8681209674361876,0.8699728599309824,0.8740703972529975,0.868027888774831,0.8641546808916476,0.002473577855648279,-0.005949429816809904,0.004418549011799722,0.00396628654454001,tied,tied
21_y384_x320.png,0.4398208260536194,0.998901,21,False,0.8708183225146209,0.880332981892128,0.8660274686031939,0.8694068633225449,0.8706493509853264,0.8720083201248267,0.004790853911426973,0.010926118569583143,0.00016897152929451487,0.0083246617673014,tied,tied
21_y384_x384.png,0.5617516040802002,0.848389,21,False,0.8397306402702672,0.8541095831910303,0.8348781330762852,0.8328767066241322,0.8430431807983442,0.8424657476543442,0.004852507193982003,0.021232876566898096,-0.003312540528076946,0.01164383553668602,tied,tied
21_y448_x192.png,0.5178101658821106,0.901001,21,False,0.8673094585231648,0.825251197792699,0.8778383290693954,0.8444735655549428,0.8630705397347384,0.8178243738845592,-0.01052887054623064,-0.01922236776224384,0.004238918788426416,0.007426823908139757,worse,tied
21_y448_x256.png,0.5348518490791321,0.881836,21,False,0.8619313650919623,0.8023774105875314,0.8720253837334072,0.816740956826444,0.8573692555272867,0.803863294681212,-0.01009401864144488,-0.014363546238912561,0.0045621095646756205,-0.0014858840936805562,worse,tied
21_y456_x192.png,0.5069828629493713,0.838501,21,False,0.853611645554486,0.811488246415205,0.867305061922558,0.8276762358868082,0.850555555970679,0.799477802613693,-0.013693416368071976,-0.01618798947160316,0.003056089583806987,0.01201044380151206,worse,tied
21_y456_x256.png,0.5036824345588684,0.819336,21,False,0.8447561369309655,0.7821723684641537,0.8577749688439477,0.8010625690610238,0.8389750084183012,0.7827626872328058,-0.013018831912982143,-0.018890200596870077,0.005781128512664324,-0.0005903187686521205,worse,better
22_y64_x64.png,0.4515056908130646,0.817383,22,False,0.8183856509028937,0.7799145243595832,0.8155706734105417,0.76851851304474,0.8262980955311987,0.7877492821385379,0.0028149774923520443,0.011396011314843246,-0.007912444628304982,-0.007834757778954704,tied,worse
22_y64_x128.png,0.5847282409667969,0.98822,22,True,0.7897848196032519,0.7639524210249202,0.7902439029506247,0.7410795940481262,0.7949280668253401,0.745654159443485,-0.0004590833473728795,0.022872826976794047,-0.005143247222088254,0.018298261581435216,tied,worse
22_y64_x192.png,0.5611215233802795,1.0,22,False,0.8029914534124115,0.7822647760938185,0.799648120079947,0.7568692724526674,0.8009581885867636,0.7656119868209326,0.0033433333324645043,0.025395503641151063,0.002033264825647918,0.016652789272885937,tied,tied
22_y64_x256.png,0.4473684430122375,1.0,22,False,0.8310064600312431,0.7969624268706537,0.8263069143627595,0.7833732982279245,0.8254101812675428,0.7841726587363202,0.004699545668483629,0.013589128642729209,0.00559627876370028,0.012789768134333412,tied,better
22_y64_x320.png,0.4953331053256988,0.976257,22,False,0.8130918077128617,0.7279764071950741,0.814015074732094,0.736454107126966,0.8123611395427972,0.7412458505667311,-0.0009232670192322878,-0.008477699931891958,0.0007306681700645079,-0.01326944337165703,tied,tied
