dataset,case_id,method,internal_id,dice@0.5,recall@0.5,cldice@0.5,image_path,gt_path,fov_path
CHASE_DB1 (1st observer),Image_10R,Baseline (P0),P0_baseline,0.11465357738122543,0.06314530663118358,0.42046178294528513,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_10R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_10R_1stHO.png,
CHASE_DB1 (1st observer),Image_10R,CDC (proposed; internal J3),J3_joint_detach_false,0.23351192580706573,0.14461605834498323,0.5096103443007947,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_10R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_10R_1stHO.png,
CHASE_DB1 (1st observer),Image_11L,Baseline (P0),P0_baseline,0.33413461538461536,0.21481249633208788,0.6403605783941841,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11L_1stHO.png,
CHASE_DB1 (1st observer),Image_11L,CDC (proposed; internal J3),J3_joint_detach_false,0.3723090615786839,0.2618595825426945,0.5757826479265877,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11L_1stHO.png,
CHASE_DB1 (1st observer),Image_11R,Baseline (P0),P0_baseline,0.23183488832343793,0.13631118846928597,0.5957819466774478,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11R_1stHO.png,
CHASE_DB1 (1st observer),Image_11R,CDC (proposed; internal J3),J3_joint_detach_false,0.2703471560091908,0.16912756928011266,0.5173042651877415,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_11R_1stHO.png,
CHASE_DB1 (1st observer),Image_12L,Baseline (P0),P0_baseline,0.10790457491729646,0.05811797427280102,0.531091533193624,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_12L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_12L_1stHO.png,
CHASE_DB1 (1st observer),Image_12L,CDC (proposed; internal J3),J3_joint_detach_false,0.20692868968054448,0.12221868119133156,0.5183978563943794,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_12L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_12L_1stHO.png,
CHASE_DB1 (1st observer),Image_12R,Baseline (P0),P0_baseline,0.1896437264881611,0.10941822360301315,0.515975255220059,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_12R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_12R_1stHO.png,
CHASE_DB1 (1st observer),Image_12R,CDC (proposed; internal J3),J3_joint_detach_false,0.2871598705645565,0.18317231987062177,0.5650116126785107,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_12R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_12R_1stHO.png,
CHASE_DB1 (1st observer),Image_13L,Baseline (P0),P0_baseline,0.17611213574326817,0.10117998101179981,0.41760347678864573,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13L_1stHO.png,
CHASE_DB1 (1st observer),Image_13L,CDC (proposed; internal J3),J3_joint_detach_false,0.23949080622347949,0.14353044893530448,0.4787358898985832,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13L_1stHO.png,
CHASE_DB1 (1st observer),Image_13R,Baseline (P0),P0_baseline,0.13611491108071136,0.07549690721649485,0.4224577342964625,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13R_1stHO.png,
CHASE_DB1 (1st observer),Image_13R,CDC (proposed; internal J3),J3_joint_detach_false,0.15432269323056788,0.08752164948453608,0.4017142202235983,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_13R_1stHO.png,
CHASE_DB1 (1st observer),Image_14L,Baseline (P0),P0_baseline,0.20848325673013787,0.12024904185539212,0.5774280957189423,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14L_1stHO.png,
CHASE_DB1 (1st observer),Image_14L,CDC (proposed; internal J3),J3_joint_detach_false,0.2602351134069147,0.15912017329919864,0.5490256773885815,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14L.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14L_1stHO.png,
CHASE_DB1 (1st observer),Image_14R,Baseline (P0),P0_baseline,0.11549025447566101,0.062200360013545064,0.5273900911325264,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14R_1stHO.png,
CHASE_DB1 (1st observer),Image_14R,CDC (proposed; internal J3),J3_joint_detach_false,0.16860609831985066,0.09657987132189132,0.5188161349667406,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14R.jpg,C:\Users\zhang\Desktop\vessel\CHASE_DB1\Image_14R_1stHO.png,
