dataset,case_id,method,internal_id,dice@0.5,recall@0.5,cldice@0.5,image_path,gt_path,fov_path
HRF (all; manual1; FOV mask if present),12_g,CDC (proposed; internal J3),J3_joint_detach_false,0.14926114690515113,0.08261930918440823,0.5726623365477652,C:\Users\zhang\Desktop\vessel\HRF\all\images\12_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\12_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\12_g_mask.tif
HRF (all; manual1; FOV mask if present),12_g,Baseline (P0),P0_baseline,0.016100474930327444,0.008127677128506604,0.5042378776894868,C:\Users\zhang\Desktop\vessel\HRF\all\images\12_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\12_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\12_g_mask.tif
HRF (all; manual1; FOV mask if present),12_g,CDC (proposed; internal J3),J3_joint_detach_false,0.14926114690515113,0.08261930918440823,0.5726623365477652,C:\Users\zhang\Desktop\vessel\HRF\all\images\12_g.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\12_g.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\12_g_mask.tif
HRF (all; manual1; FOV mask if present),12_h,Baseline (P0),P0_baseline,0.015099662156313014,0.007620470066849499,0.4312266243589808,C:\Users\zhang\Desktop\vessel\HRF\all\images\12_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\12_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\12_h_mask.tif
HRF (all; manual1; FOV mask if present),12_h,CDC (proposed; internal J3),J3_joint_detach_false,0.06631735706221896,0.03452686911804797,0.4492060283892927,C:\Users\zhang\Desktop\vessel\HRF\all\images\12_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\12_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\12_h_mask.tif
HRF (all; manual1; FOV mask if present),12_h,Baseline (P0),P0_baseline,0.015099662156313014,0.007620470066849499,0.4312266243589808,C:\Users\zhang\Desktop\vessel\HRF\all\images\12_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\12_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\12_h_mask.tif
HRF (all; manual1; FOV mask if present),12_h,CDC (proposed; internal J3),J3_joint_detach_false,0.06631735706221896,0.03452686911804797,0.4492060283892927,C:\Users\zhang\Desktop\vessel\HRF\all\images\12_h.jpg,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\12_h.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\12_h_mask.tif
HRF (all; manual1; FOV mask if present),13_dr,Baseline (P0),P0_baseline,0.02948788715118062,0.015039367967611916,0.4762347626974943,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_dr_mask.tif
HRF (all; manual1; FOV mask if present),13_dr,CDC (proposed; internal J3),J3_joint_detach_false,0.1701844568297065,0.09625088253956905,0.526945243697204,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_dr_mask.tif
HRF (all; manual1; FOV mask if present),13_dr,Baseline (P0),P0_baseline,0.02948788715118062,0.015039367967611916,0.4762347626974943,C:\Users\zhang\Desktop\vessel\HRF\all\images\13_dr.JPG,C:\Users\zhang\Desktop\vessel\HRF\all\manual1\13_dr.tif,C:\Users\zhang\Desktop\vessel\HRF\all\mask\13_dr_mask.tif
